STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,SSV_SWISS_CITY,Schweizer Städte,SSV_CLASS_CITY,Gemeindegrössenklasse (Einwohner),SSV_AREA_NOAS,Bodennutzungsart,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,PERIOD,Time Period,EMBARGO_DATE,Date of publication,LAST_UPDATE,Update date,DB_STATE,State of the database,REGION_REF,Spatial reference,REGION_STATE,Date of spatial reference,DATASET_COMMENT,Bemerkungen
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,_ST,Gesamtwert für Schweizer Städte,6,100 000 und mehr,sur_bois,Bestockte Flächen,8551,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,53,Bülach,4,20 000-49 999,sur_bat,"Siedlungsflächen, Gebäudeareal",236,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,69,Wallisellen,3,15 000-19 999,sur_bat,"Siedlungsflächen, Gebäudeareal",178,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,117,Hinwil,2,10 000-14 999,sur_t,Total Fläche,2227,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,121,Wetzikon (ZH),4,20 000-49 999,sur_agr,Landwirtschaftsflächen,633,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,131,Adliswil,3,15 000-19 999,sur_unpr,"Unproduktive Flächen, Andere unproduktive Flächen",2,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,131,Adliswil,3,15 000-19 999,sur_ind,"Siedlungsflächen, Industrieareal und besondere Siedlungsflächen",24,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,138,Richterswil,2,10 000-14 999,sur_tran,"Siedlungsflächen, Verkehrsflächen",82,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,141,Thalwil,3,15 000-19 999,sur_bois,Bestockte Flächen,124,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,158,Stäfa,3,15 000-19 999,sur_eau,"Unproduktive Flächen, Gewässer",1,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,177,Pfäffikon,2,10 000-14 999,sur_bat,"Siedlungsflächen, Gebäudeareal",213,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,199,Volketswil,3,15 000-19 999,sur_eau,"Unproduktive Flächen, Gewässer",5,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,243,Dietikon,4,20 000-49 999,sur_agr,Landwirtschaftsflächen,139,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,261,Zürich,6,100 000 und mehr,sur_bat,"Siedlungsflächen, Gebäudeareal",3026,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,296,Illnau-Effretikon,3,15 000-19 999,sur_vert,"Siedlungsflächen, Erholungs- und Grünanlagen",36,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,355,Köniz,4,20 000-49 999,sur_tran,"Siedlungsflächen, Verkehrsflächen",237,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,356,Muri bei Bern,2,10 000-14 999,sur_unpr,"Unproduktive Flächen, Andere unproduktive Flächen",5,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
DATAFLOW,CH1.SSV:DF_SSV_AREA_NOAS(2026.1.0),"Statistik der Schweizer Städte 2026, Bodennutzungsart gemäss Arealstatistik des BFS (in Hektaren)",I,356,Muri bei Bern,2,10 000-14 999,sur_ind,"Siedlungsflächen, Industrieareal und besondere Siedlungsflächen",23,,A,Normal value,2013-2025,,28.04.2026,,28.04.2026,,,,POLG,Communes,06.04.2025,,DATASET_COMMENT,"Quelle: Bundesamt für Statistik – Arealstatistik der Schweiz (AREA)

Die Daten betreffen die 180 Städte der Publikation ""Statistik der Schweizer Städte"", bestehend aus 173 statistischen Städten und 7 weiteren Mitgliedern des Schweizerischen Städteverbands: Appenzell, Arosa, La Neuveville, Moutier, Murten, Willisau und Worb. 

Die Totalfläche der Schweiz beinhaltet die Seenflächen ohne Auslandsteile und die Flächen der Kommunanzen und des Staatwalds Galm. Städte: Fläche ohne Seen > 5 km2 Die Totalfläche stellt die Fläche pro Polygon dar. Sie entspricht nicht der Gesamtfläche pro Punkt, aus der sich die Flächen der Landnutzungskategorien zuammensetzen. 

Datenqualität, Stichprobenfehler: kleine Flächenwerte sind statistisch nicht gesichert. Sie unterliegen einem grossen Stichprobenfehler. Eine Fläche von 10 ha weist einen Stichprobenfehler von +/- 6,2 ha aus! Für eine Fläche von 100 ha ist der Stichprobenfehler noch +/-20 ha.

Die Daten für die Städte der Kantone FR, GE, NE, VD, AG und LU stammen aus der Erhebung 2020/25, die derzeit durchgeführt wird."
